"","Idimpianto","Gestore","Bandiera","Tipo.Impianto","Nome.Impianto","Indirizzo","Comune","Provincia","Latitudine","Longitudine"
"62",6390,"SERVIZI & GESTIONI ITALIA srl","Q8","Altro","GENOVA VASCO DA GAMA","VASCO DA GAMA SNC 16149","GENOVA","GE",44.4139698944,8.894660254
"63",6387,"SERVIZI & GESTIONI ITALIA srl","Q8","Altro","GENOVA VIA G. COLANO","VIA G. COLANO SNC 16162","GENOVA","GE",44.4661843056,8.9053697884
"64",23837,"SERVIZI & GESTIONI ITALIA S.R.L.","Q8","Altro","GENOVA VIA MULTEDO, 3","VIA MULTEDO 3 16154","GENOVA","GE",44.4271062565,8.833949422
"65",11599,"SERVIZI & GESTIONI ITALIA S.R.L.","Q8","Altro","GENOVA-C.SO EUROPA 852","C.SO EUROPA 852 16148","GENOVA","GE",44.3985885015,8.9934444319
"66",11601,"SERVIZI & GESTIONI ITALIA S.R.L.","Q8","Altro","GENOVA-CORSO ITALIA 34B/ROSSO","CORSO ITALIA 34/B/ROSSO 16145","GENOVA","GE",44.3931272046,8.9633741569
"67",23707,"SERVIZI & GESTIONI ITALIA S.R.L.","Q8","Altro","GENOVA-QUARTO VIA 5 MAGGIO, 79 R - STAZ.Q8","VIA 5 MAGGIO 79 R 16147","GENOVA","GE",44.3898322822,8.9930091412
"68",11600,"SERVIZI & GESTIONI ITALIA S.R.L.","Shell","Altro","GENOVA-SESTRI PONENTE VIA MERANO 101/G/R","SESTRI PONENTE VIA MERANO 101/G/R 16154","GENOVA","GE",44.4275574639,8.8368463558
"69",11602,"SERVIZI & GESTIONI ITALIA S.R.L.","Q8","Altro","GENOVA-VIA DEI MILLE 9/R ANG. TABARCA","VIA DEI MILLE ANG. TABARCA 9/R 16147","GENOVA","GE",44.3939037879,8.9820420742
"70",25312,"GHIORZO VALTER","Api-Ip","Altro","Ghiorzo Valter","CORSO EUROPA 1773, 16166","GENOVA","GE",44.3851122147,9.0235626816
"71",4041,"CORRADO STEFANO","Agip Eni","Altro","impianto eni 1023","PIAZZETTA DEI MINOLLI 7 R 16149","GENOVA","GE",44.4092138275,8.8922732908
"72",16616,"RIZZO CARLO","Agip Eni","Altro","impianto eni di carlo rizzo","VIA CANTORE (CHIOSCO AGIP)  16149","GENOVA","GE",44.41057725,8.90369609
"73",14911,"REPETTI ROBERTO","Agip Eni","Altro","inp.agip 1046","CORSO EUROPA 11 16132","GENOVA","GE",44.4053547825,8.9694615256
"74",10973,"MADDALENA STEFANO","Api-Ip","Altro","ip","Corso Europa 635, 16148 Genova","GENOVA","GE",44.3999301262,8.9882588387
"75",12292,"GERACI ROBERTO","Api-Ip","Altro","IP","VIA MORESCO  16137","GENOVA","GE",44.4114444336,8.95310238
"76",13923,"CASAZZA  SIMONE","Api-Ip","Altro","IP","PIAZZALE MARASSI null, 16139","GENOVA","GE",44.4186406215,8.9488724893
"77",14802,"SALVINI ALESSANDRO","Api-Ip","Altro","IP","Via Gobetti ang Via Zara ","GENOVA","GE",44.3940774454,8.9581912776
"78",25362,"BARISONE S.A.S. DI BARISONE PAOLA & C.","Api-Ip","Altro","IP","CORSO SARDEGNA 261 R 16142","GENOVA","GE",44.4116467618,8.955206573
"79",25363,"BARISONE S.A.S. DI BARISONE PAOLA & C.","Q8","Altro","IP","CORSO SARDEGNA 261 R 16142","GENOVA","GE",44.4116467618,8.955206573
"80",29303,"GIOVINAZZO GIULIA","Api-Ip","Altro","Ip","CORSO MAGENTA 25 16125","GENOVA","GE",44.4148242589,8.9382320981
"81",29459,"RASO GRAZIELLA","Api-Ip","Altro","ip","VIA GALLINO NATALE 67 R 16164","GENOVA","GE",44.5043039414,8.9073483177
"82",28765,"DUE ESSE S.R.L.","Pompe Bianche","Altro","ITALFUEL","VIA CECCHI 29/AR 16129","GENOVA","GE",44.3977370581,8.9489037037
"83",29273,"MARESCA ANDREA","Api-Ip","Altro","italiana petroli","CORSO DOGALI 10 R 16136","GENOVA","GE",44.417571463,8.9267178366
"84",3910,"lanterna service s.a.s.","Shell","Autostradale","LA LANTERNA EST","Autostrada A7 SERRAVALLE-GENOVA, Km. 133+200, dir. Nord","GENOVA","GE",44.4149,8.90198
"85",22164,"LANGELLOTTI INNOCENZO","Api-Ip","Altro","LANGELLOTTI INNOCENZO","PIAZZA FERREIRA 185 16135","GENOVA","GE",44.4187149723,8.922444796
"86",18546,"MASSIMILIANO BARETTI S.A.S.","Total Erg","Altro","MASSIMILIANO BARETTI S.A.S.","VIA STRUPPA 80 16165","GENOVA","GE",44.4490407803,8.996885451
"87",16210,"MAUGERI FRANCESCO","Agip Eni","Altro","Maugeri Francesco impianto eni 51532","VIA POZZO 12R 16100","GENOVA","GE",44.4013798293,8.9542228729
"88",5062,"ME-TRA - SOCIETA' A RESPONSABILITA' LIMITATA","Pompe Bianche","Altro","ME-TRA srl","VIA PIACENZA 141-143R 16138","GENOVA","GE",44.4355935675,8.9615218341
"89",26268,"P&R S.N.C. DI PARMEGGIANI PATRIZIA E RIITANO LUCA","Api-Ip","Altro","P. & R. snc","VIA TEGLIA 19R 16161","GENOVA","GE",44.4493550993,8.8942872978
"90",21390,"PLANET OIL SRL","Api-Ip","Altro","Planet Oil Via Emilia","VIA EMILIA 66 R 16138","GENOVA","GE",44.4499457322,8.9728520884
